tax_assessment_year,neighbourhood_name,distance_to_beach_km,age_at_assessment,is_strata,annual_precip_mm,annual_temp_c,price_cad
2023,Sunset,7.52,6,0,1048.0,10.3,2017000.0
2023,Renfrew-Collingwood,7.85,7,1,1048.0,10.3,888000.0
2023,Downtown,1.43,15,1,1048.0,10.3,1220000.0
2023,West Point Grey,1.05,11,1,1048.0,10.3,1504477.0
2023,West Point Grey,1.05,11,1,1048.0,10.3,675000.0
2023,West Point Grey,1.05,15,1,1048.0,10.3,810000.0
2023,Renfrew-Collingwood,7.85,7,1,1048.0,10.3,947000.0
2023,Renfrew-Collingwood,7.85,7,1,1048.0,10.3,628000.0
2023,Renfrew-Collingwood,7.85,7,1,1048.0,10.3,567000.0
2023,Riley Park,4.58,3,1,1048.0,10.3,1255000.0
2023,Riley Park,4.58,3,1,1048.0,10.3,1434000.0
2023,Kensington-Cedar Cottage,5.89,15,1,1048.0,10.3,687000.0
2023,Downtown,1.43,95,0,1048.0,10.3,366300.0
2023,Kensington-Cedar Cottage,5.89,91,0,1048.0,10.3,1569000.0
2023,Downtown,1.43,17,1,1048.0,10.3,483000.0
2023,Downtown,1.43,17,1,1048.0,10.3,921000.0
2023,Downtown,1.43,16,1,1048.0,10.3,1779000.0
2023,Arbutus Ridge,3.05,20,1,1048.0,10.3,1081000.0
2023,Arbutus Ridge,3.05,19,0,1048.0,10.3,3983000.0
2023,Arbutus Ridge,3.05,77,0,1048.0,10.3,2856000.0
2023,Arbutus Ridge,3.05,85,0,1048.0,10.3,3967200.0
2023,Arbutus Ridge,3.05,28,0,1048.0,10.3,4340000.0
2023,Arbutus Ridge,3.05,82,0,1048.0,10.3,3214800.0
2023,Arbutus Ridge,3.05,98,0,1048.0,10.3,3475000.0
2023,Hastings-Sunrise,6.96,12,0,1048.0,10.3,2392000.0
2023,Hastings-Sunrise,6.96,57,0,1048.0,10.3,1484100.0
2023,Hastings-Sunrise,6.96,68,0,1048.0,10.3,1442300.0
2023,Hastings-Sunrise,6.96,64,0,1048.0,10.3,1536900.0
2023,Hastings-Sunrise,6.96,111,0,1048.0,10.3,1560500.0
2023,Hastings-Sunrise,6.96,34,0,1048.0,10.3,1538000.0
2021,Renfrew-Collingwood,7.85,60,0,1140.4,10.6,1775300.0
2021,Dunbar-Southlands,3.76,30,0,1140.4,10.6,3077000.0
2023,West End,0.57,36,1,1048.0,10.3,608000.0
2023,West End,0.57,37,1,1048.0,10.3,671600.0
2023,West End,0.57,37,1,1048.0,10.3,816065.0
2023,Downtown,1.43,21,1,1048.0,10.3,4539000.0
2023,Downtown,1.43,23,1,1048.0,10.3,861000.0
2023,Downtown,1.43,23,1,1048.0,10.3,1725000.0
2023,Downtown,1.43,26,1,1048.0,10.3,1817000.0
2023,West End,0.57,43,1,1048.0,10.3,501800.0
2023,West End,0.57,41,1,1048.0,10.3,724000.0
2023,West End,0.57,27,1,1048.0,10.3,793000.0
2023,West End,0.57,27,1,1048.0,10.3,958000.0
2023,West End,0.57,35,1,1048.0,10.3,649000.0
2021,Fairview,1.75,31,1,1140.4,10.6,965000.0
2023,Downtown,1.43,15,1,1048.0,10.3,1340000.0
2023,Downtown,1.43,15,1,1048.0,10.3,806000.0
2023,Grandview-Woodland,5.05,10,1,1048.0,10.3,1313000.0
2023,Mount Pleasant,3.31,9,1,1048.0,10.3,799000.0
2023,Mount Pleasant,3.31,9,1,1048.0,10.3,1315000.0
2023,Mount Pleasant,3.31,9,1,1048.0,10.3,939000.0
2023,Mount Pleasant,3.31,10,1,1048.0,10.3,801000.0
2023,Mount Pleasant,3.31,10,1,1048.0,10.3,1321000.0
2023,West Point Grey,1.05,34,1,1048.0,10.3,1180000.0
2023,West Point Grey,1.05,76,0,1048.0,10.3,4244800.0
2023,West Point Grey,1.05,46,1,1048.0,10.3,637600.0
2023,West Point Grey,1.05,4,0,1048.0,10.3,3936000.0
2023,Arbutus Ridge,3.05,30,0,1048.0,10.3,4259000.0
2023,Arbutus Ridge,3.05,30,0,1048.0,10.3,3634000.0
2023,Arbutus Ridge,3.05,63,0,1048.0,10.3,2980000.0
2023,Hastings-Sunrise,6.96,40,0,1048.0,10.3,1518000.0
2023,Hastings-Sunrise,6.96,105,0,1048.0,10.3,1562000.0
2023,Hastings-Sunrise,6.96,70,0,1048.0,10.3,1577500.0
2023,Hastings-Sunrise,6.96,36,0,1048.0,10.3,1818000.0
2023,Hastings-Sunrise,6.96,65,0,1048.0,10.3,1748700.0
2023,Kitsilano,0.92,48,1,1048.0,10.3,747600.0
2023,Kitsilano,0.92,50,1,1048.0,10.3,777900.0
2023,Kitsilano,0.92,35,1,1048.0,10.3,2131000.0
2023,Kitsilano,0.92,61,0,1048.0,10.3,4187000.0
2023,Kitsilano,0.92,51,1,1048.0,10.3,577400.0
2023,Kitsilano,0.92,48,1,1048.0,10.3,738100.0
2023,Kitsilano,0.92,48,1,1048.0,10.3,832200.0
2023,Kitsilano,0.92,98,0,1048.0,10.3,2526000.0
2023,Downtown,1.43,27,1,1048.0,10.3,618000.0
2023,Downtown,1.43,66,1,1048.0,10.3,533000.0
2023,Downtown,1.43,21,1,1048.0,10.3,944000.0
2023,Downtown,1.43,32,1,1048.0,10.3,318600.0
2023,Downtown,1.43,18,1,1048.0,10.3,598000.0
2023,Downtown,1.43,25,1,1048.0,10.3,199500.0
2023,Downtown,1.43,25,1,1048.0,10.3,226700.0
2023,Downtown,1.43,66,1,1048.0,10.3,640000.0
2023,Downtown,1.43,21,1,1048.0,10.3,3107000.0
2023,West End,0.57,48,1,1048.0,10.3,574900.0
2023,Victoria-Fraserview,8.47,17,0,1048.0,10.3,1821000.0
2023,Grandview-Woodland,5.05,8,1,1048.0,10.3,674000.0
2023,West End,0.57,17,1,1048.0,10.3,899000.0
2023,Downtown,1.43,9,1,1048.0,10.3,2104000.0
2023,Downtown,1.43,15,1,1048.0,10.3,1310000.0
2023,Marpole,7.34,7,1,1048.0,10.3,530000.0
2023,Downtown,1.43,15,1,1048.0,10.3,1882000.0
2023,Downtown,1.43,15,1,1048.0,10.3,2340000.0
2023,Downtown,1.43,15,1,1048.0,10.3,1597000.0
2023,Downtown,1.43,15,1,1048.0,10.3,1569000.0
2023,Downtown,1.43,15,1,1048.0,10.3,686000.0
2023,Downtown,1.43,15,1,1048.0,10.3,2642000.0
2023,Marpole,7.34,7,1,1048.0,10.3,552000.0
2023,Arbutus Ridge,3.05,109,0,1048.0,10.3,4033000.0
2023,Kitsilano,0.92,21,1,1048.0,10.3,808000.0
2023,Kitsilano,0.92,18,1,1048.0,10.3,676000.0
2023,Kitsilano,0.92,28,1,1048.0,10.3,689000.0
2023,Kitsilano,0.92,32,1,1048.0,10.3,1039000.0
2023,Kitsilano,0.92,26,1,1048.0,10.3,738000.0
2023,Arbutus Ridge,3.05,33,0,1048.0,10.3,4073000.0
2023,Arbutus Ridge,3.05,25,1,1048.0,10.3,2245000.0
2023,Arbutus Ridge,3.05,95,0,1048.0,10.3,2458000.0
2023,Arbutus Ridge,3.05,43,1,1048.0,10.3,778453.0
2023,Arbutus Ridge,3.05,110,0,1048.0,10.3,3987000.0
2023,Arbutus Ridge,3.05,103,0,1048.0,10.3,2373000.0
2023,Downtown,1.43,17,1,1048.0,10.3,748000.0
2023,Downtown,1.43,17,1,1048.0,10.3,701000.0
2023,Downtown,1.43,17,1,1048.0,10.3,677000.0
2023,Downtown,1.43,17,1,1048.0,10.3,673000.0
2023,Downtown,1.43,12,1,1048.0,10.3,973000.0
2023,Marpole,7.34,4,1,1048.0,10.3,752000.0
2023,Kensington-Cedar Cottage,5.89,6,1,1048.0,10.3,1384000.0
2023,Mount Pleasant,3.31,5,1,1048.0,10.3,778000.0
2023,Kitsilano,0.92,36,1,1048.0,10.3,1548000.0
2023,West Point Grey,1.05,21,0,1048.0,10.3,3319000.0
2023,Kitsilano,0.92,95,0,1048.0,10.3,2496100.0
2023,Kitsilano,0.92,111,0,1048.0,10.3,1970500.0
2023,West Point Grey,1.05,9,0,1048.0,10.3,4335000.0
2023,Kitsilano,0.92,111,0,1048.0,10.3,1956700.0
2023,Kitsilano,0.92,111,0,1048.0,10.3,2080400.0
2023,Kitsilano,0.92,111,0,1048.0,10.3,2801000.0
2023,Kitsilano,0.92,25,1,1048.0,10.3,464900.0
2023,Kitsilano,0.92,25,1,1048.0,10.3,618887.0
2023,Kitsilano,0.92,99,0,1048.0,10.3,2351400.0
2023,Kitsilano,0.92,26,1,1048.0,10.3,707000.0
2021,West End,0.57,120,0,1140.4,10.6,1327000.0
2021,Arbutus Ridge,3.05,40,0,1140.4,10.6,2179000.0
2023,Kerrisdale,5.6,30,0,1048.0,10.3,4048000.0
2023,Kitsilano,0.92,26,1,1048.0,10.3,1407000.0
2023,Kitsilano,0.92,37,1,1048.0,10.3,1124000.0
2023,Kitsilano,0.92,23,1,1048.0,10.3,630000.0
2023,Kitsilano,0.92,96,0,1048.0,10.3,1913900.0
2023,Kitsilano,0.92,103,0,1048.0,10.3,2108100.0
2023,Kitsilano,0.92,25,1,1048.0,10.3,1045000.0
2023,Kerrisdale,5.6,36,0,1048.0,10.3,3822000.0
2023,Kerrisdale,5.6,18,0,1048.0,10.3,3782000.0
2023,Kerrisdale,5.6,74,0,1048.0,10.3,2830000.0
2023,Kerrisdale,5.6,88,0,1048.0,10.3,3474000.0
2023,Oakridge,5.77,30,0,1048.0,10.3,3733000.0
2023,Kerrisdale,5.6,77,0,1048.0,10.3,3117400.0
2023,Kitsilano,0.92,48,1,1048.0,10.3,950200.0
2023,Kitsilano,0.92,112,0,1048.0,10.3,2639000.0
2023,Kitsilano,0.92,33,1,1048.0,10.3,3600000.0
2023,Kitsilano,0.92,47,1,1048.0,10.3,3555000.0
2023,Kitsilano,0.92,43,1,1048.0,10.3,1316000.0
2021,Kensington-Cedar Cottage,5.89,4,0,1140.4,10.6,2203000.0
2021,Renfrew-Collingwood,7.85,25,0,1140.4,10.6,1920000.0
2023,Kerrisdale,5.6,34,0,1048.0,10.3,3630000.0
2023,Kerrisdale,5.6,22,0,1048.0,10.3,4411000.0
2023,Kitsilano,0.92,25,1,1048.0,10.3,872000.0
2023,Kitsilano,0.92,25,1,1048.0,10.3,1193000.0
2023,Kitsilano,0.92,23,1,1048.0,10.3,941000.0
2023,Kitsilano,0.92,98,0,1048.0,10.3,3964000.0
2023,Kitsilano,0.92,23,1,1048.0,10.3,887000.0
2023,Kitsilano,0.92,23,1,1048.0,10.3,1201000.0
2023,Kitsilano,0.92,43,1,1048.0,10.3,1373100.0
2023,Kitsilano,0.92,53,1,1048.0,10.3,660400.0
2023,Kitsilano,0.92,37,1,1048.0,10.3,2206566.0
2023,Kitsilano,0.92,37,1,1048.0,10.3,2058000.0
2023,Kitsilano,0.92,56,1,1048.0,10.3,745286.0
2023,Kitsilano,0.92,5,0,1048.0,10.3,3799000.0
2023,Kitsilano,0.92,56,1,1048.0,10.3,587400.0
2023,Kitsilano,0.92,41,1,1048.0,10.3,863300.0
2023,Kitsilano,0.92,41,1,1048.0,10.3,909000.0
2023,Kitsilano,0.92,28,1,1048.0,10.3,1152000.0
2023,Kitsilano,0.92,111,0,1048.0,10.3,3146000.0
2023,Kitsilano,0.92,38,1,1048.0,10.3,505200.0
2023,Kitsilano,0.92,29,1,1048.0,10.3,566000.0
2023,Kitsilano,0.92,52,1,1048.0,10.3,614100.0
2023,Kitsilano,0.92,26,1,1048.0,10.3,1491000.0
2023,Kitsilano,0.92,37,1,1048.0,10.3,1690000.0
2023,Kitsilano,0.92,41,1,1048.0,10.3,1454000.0
2023,Kitsilano,0.92,48,1,1048.0,10.3,734002.0
2023,Kitsilano,0.92,35,1,1048.0,10.3,1139000.0
2023,Kitsilano,0.92,10,0,1048.0,10.3,3905000.0
2023,Kitsilano,0.92,48,1,1048.0,10.3,1184206.0
2023,Kitsilano,0.92,24,1,1048.0,10.3,872000.0
2023,Kitsilano,0.92,45,1,1048.0,10.3,606700.0
2023,Kitsilano,0.92,24,1,1048.0,10.3,563200.0
2023,Kitsilano,0.92,29,1,1048.0,10.3,1026000.0
2023,Kitsilano,0.92,48,1,1048.0,10.3,1085200.0
2023,Kitsilano,0.92,35,1,1048.0,10.3,726000.0
2023,Kitsilano,0.92,36,1,1048.0,10.3,2496000.0
2023,Kitsilano,0.92,73,0,1048.0,10.3,2983200.0
2023,Kitsilano,0.92,112,0,1048.0,10.3,3186000.0
2023,Kitsilano,0.92,46,1,1048.0,10.3,668300.0
2023,Kerrisdale,5.6,72,0,1048.0,10.3,3471000.0
2023,Kerrisdale,5.6,77,0,1048.0,10.3,3779400.0
2023,Kerrisdale,5.6,35,1,1048.0,10.3,2346000.0
2023,Kerrisdale,5.6,54,0,1048.0,10.3,2887000.0
2023,Kerrisdale,5.6,31,0,1048.0,10.3,3685000.0
2023,Fairview,1.75,19,1,1048.0,10.3,1180241.0
2023,Kerrisdale,5.6,77,0,1048.0,10.3,2839500.0
2023,Kerrisdale,5.6,73,0,1048.0,10.3,2885500.0
2023,Kerrisdale,5.6,60,0,1048.0,10.3,2473000.0
2023,Kerrisdale,5.6,59,0,1048.0,10.3,3360000.0
2023,Kerrisdale,5.6,79,0,1048.0,10.3,1467500.0
2023,Kerrisdale,5.6,77,0,1048.0,10.3,2393000.0
2021,Kensington-Cedar Cottage,5.89,33,0,1140.4,10.6,1545000.0
2023,Downtown,1.43,12,1,1048.0,10.3,1191000.0
2023,Downtown,1.43,12,1,1048.0,10.3,1951000.0
2023,Downtown,1.43,8,1,1048.0,10.3,381000.0
2023,Mount Pleasant,3.31,17,1,1048.0,10.3,682000.0
2023,West End,0.57,16,1,1048.0,10.3,1749000.0
2023,Downtown,1.43,7,1,1048.0,10.3,747000.0
2023,Mount Pleasant,3.31,17,1,1048.0,10.3,879000.0
2023,Mount Pleasant,3.31,5,1,1048.0,10.3,2032000.0
2023,Kitsilano,0.92,13,1,1048.0,10.3,815000.0
2023,Mount Pleasant,3.31,10,1,1048.0,10.3,1141000.0
2023,Downtown,1.43,16,1,1048.0,10.3,806000.0
2023,Kerrisdale,5.6,5,1,1048.0,10.3,1893000.0
2023,Mount Pleasant,3.31,10,1,1048.0,10.3,787000.0
2023,West Point Grey,1.05,34,1,1048.0,10.3,828000.0
2023,West Point Grey,1.05,83,0,1048.0,10.3,4032400.0
2023,West Point Grey,1.05,46,1,1048.0,10.3,609200.0
2023,West Point Grey,1.05,46,1,1048.0,10.3,612900.0
2023,West Point Grey,1.05,51,1,1048.0,10.3,562697.0
2023,Riley Park,4.58,16,1,1048.0,10.3,1311000.0
2023,Killarney,10.0,5,1,1048.0,10.3,639000.0
2023,Killarney,10.0,5,1,1048.0,10.3,644000.0
2023,Killarney,10.0,5,1,1048.0,10.3,915000.0
2023,Downtown,1.43,18,1,1048.0,10.3,901000.0
2023,Renfrew-Collingwood,7.85,2,1,1048.0,10.3,1365000.0
2023,Mount Pleasant,3.31,6,1,1048.0,10.3,740000.0
2023,Kerrisdale,5.6,26,0,1048.0,10.3,4019000.0
2023,Fairview,1.75,30,1,1048.0,10.3,1117000.0
2023,Fairview,1.75,30,1,1048.0,10.3,613000.0
2023,Fairview,1.75,39,1,1048.0,10.3,1157000.0
2023,Fairview,1.75,40,1,1048.0,10.3,1044000.0
2023,Fairview,1.75,40,1,1048.0,10.3,1427000.0
2023,Fairview,1.75,41,1,1048.0,10.3,751000.0
2023,Fairview,1.75,34,1,1048.0,10.3,1299000.0
2023,Fairview,1.75,34,1,1048.0,10.3,669200.0
2023,Fairview,1.75,23,1,1048.0,10.3,35052.0
2023,Fairview,1.75,43,1,1048.0,10.3,1241000.0
2023,Fairview,1.75,43,1,1048.0,10.3,959500.0
2023,Fairview,1.75,34,1,1048.0,10.3,2447055.0
2023,Fairview,1.75,40,1,1048.0,10.3,4305996.0
2023,Fairview,1.75,39,1,1048.0,10.3,536000.0
2023,Fairview,1.75,47,1,1048.0,10.3,1097000.0
2023,Fairview,1.75,22,1,1048.0,10.3,30500.0
2023,Fairview,1.75,22,1,1048.0,10.3,30500.0
2023,Fairview,1.75,22,1,1048.0,10.3,788758.0
2023,Fairview,1.75,41,1,1048.0,10.3,811000.0
2023,Fairview,1.75,22,1,1048.0,10.3,1343000.0
2023,Fairview,1.75,25,0,1048.0,10.3,11000.0
2023,Fairview,1.75,23,1,1048.0,10.3,641000.0
2023,Dunbar-Southlands,3.76,94,0,1048.0,10.3,2802000.0
2023,Dunbar-Southlands,3.76,95,0,1048.0,10.3,3609000.0
2023,Dunbar-Southlands,3.76,96,0,1048.0,10.3,2892200.0
2023,Dunbar-Southlands,3.76,68,0,1048.0,10.3,3491000.0
2023,Dunbar-Southlands,3.76,93,0,1048.0,10.3,2608000.0
2023,Dunbar-Southlands,3.76,34,0,1048.0,10.3,3508000.0
2023,Dunbar-Southlands,3.76,35,0,1048.0,10.3,3486000.0
2023,Dunbar-Southlands,3.76,84,0,1048.0,10.3,3048600.0
2023,Dunbar-Southlands,3.76,93,0,1048.0,10.3,2537500.0
2023,Dunbar-Southlands,3.76,93,0,1048.0,10.3,1905100.0
2023,Dunbar-Southlands,3.76,97,0,1048.0,10.3,2496300.0
2023,West Point Grey,1.05,97,0,1048.0,10.3,4329000.0
2023,West Point Grey,1.05,83,0,1048.0,10.3,2763700.0
2023,West Point Grey,1.05,34,1,1048.0,10.3,1117000.0
2023,West Point Grey,1.05,42,0,1048.0,10.3,2763000.0
2023,West Point Grey,1.05,34,1,1048.0,10.3,793000.0
2023,West Point Grey,1.05,75,0,1048.0,10.3,2104300.0
2023,West Point Grey,1.05,38,1,1048.0,10.3,2164000.0
2023,West Point Grey,1.05,26,0,1048.0,10.3,3245000.0
